city,location,price,bedrooms,baths,size,year,source
Lahore,"Lake City, Raiwind Road",23000000.0,2,3,1125.0,2025,live
Lahore,"DHA 9 Town - Block C, DHA 9 Town",25000000.0,3,4,1125.0,2025,live
Lahore,"DHA Phase 6, DHA Defence",350000000.0,7,7,9000.0,2025,live
Lahore,"Khayaban-e-Amin - Block L, Khayaban-e-Amin",60000000.0,5,6,4500.0,2025,live
Lahore,"DHA 11 Rahbar Phase 2, DHA 11 Rahbar",21000000.0,3,4,1125.0,2025,live
Lahore,"Central Park - Block B, Central Park Housing Scheme",50000000.0,4,5,4500.0,2025,live
Lahore,"Bahria Orchard Phase 1 - Central, Bahria Orchard Phase 1",41000000.0,5,7,2250.0,2025,live
Lahore,"Jubilee Town - Block C, Jubilee Town",14500000.0,5,6,675.0,2025,live
Lahore,"DHA Phase 7, DHA Defence",73000000.0,5,6,4500.0,2025,live
Lahore,"Lake City, Raiwind Road",75000000.0,5,6,4500.0,2025,live
Lahore,"Lake City, Raiwind Road",40600000.0,5,6,2250.0,2025,live
Lahore,"Lake City, Raiwind Road",22500000.0,4,4,1125.0,2025,live
Lahore,"Lake City, Raiwind Road",23500000.0,4,4,1125.0,2025,live
Lahore,"Lake City, Raiwind Road",28300000.0,3,3,1575.0,2025,live
Lahore,"PAF Falcon Complex, Gulberg",87500000.0,4,5,3150.0,2025,live
Lahore,"PAF Falcon Complex, Gulberg",95000000.0,4,4,3150.0,2025,live
Lahore,"PAF Falcon Complex, Gulberg",80000000.0,4,5,3150.0,2025,live
Lahore,"PAF Falcon Complex, Gulberg",90000000.0,4,5,3150.0,2025,live
Lahore,"Bahria Orchard Phase 2, Bahria Orchard",8100000.0,2,1,1125.0,2025,live
Lahore,"Bahria Orchard Phase 2, Bahria Orchard",13500000.0,3,4,1125.0,2025,live
Lahore,"Bahria Orchard Phase 2, Bahria Orchard",22500000.0,5,6,1800.0,2025,live
Lahore,"Bahria Orchard, Lahore",15000000.0,3,4,1125.0,2025,live
Lahore,"DHA Phase 8, DHA Defence",76000000.0,5,6,4500.0,2025,live
Lahore,"DHA Phase 5, DHA Defence",76500000.0,5,6,4500.0,2025,live
Lahore,"DHA Phase 7, DHA Defence",66000000.0,5,6,4500.0,2025,live
Lahore,"Al Hafeez Garden - Phase 2, Main Canal Bank Road",12000000.0,3,3,675.0,2025,live
Lahore,"Valencia - Block B, Valencia Housing Society",87000000.0,6,6,4500.0,2025,live
Lahore,"Bahria Nasheman - Sunflower, Bahria Nasheman",15500000.0,4,4,1125.0,2025,live
Lahore,"DHA Phase 3 - Block Y, DHA Phase 3",62500000.0,5,6,2250.0,2025,live
Lahore,"Jubilee Town, Lahore",32500000.0,5,6,2250.0,2025,live
Lahore,"DHA Phase 6, DHA Defence",77500000.0,5,6,4500.0,2025,live
Lahore,"Al-Kabir Town - Phase 2, Al-Kabir Town",10800000.0,3,3,675.0,2025,live
Lahore,"Al-Kabir Town - Phase 2, Al-Kabir Town",9350000.0,4,4,675.0,2025,live
Lahore,"Al-Kabir Town - Phase 2, Al-Kabir Town",11300000.0,3,3,675.0,2025,live
Lahore,"Al-Kabir Town - Phase 2, Al-Kabir Town",10600000.0,4,4,675.0,2025,live
Lahore,"Faisal Town, Lahore",62500000.0,7,6,2250.0,2025,live
Lahore,"Park View City, Lahore",21500000.0,4,4,1125.0,2025,live
Lahore,"Park View City, Lahore",24000000.0,4,4,1125.0,2025,live
Lahore,"DHA Phase 7, DHA Defence",71500000.0,5,6,4500.0,2025,live
Lahore,"DHA Phase 7 - Block T, DHA Phase 7",67500000.0,5,6,4500.0,2025,live
Lahore,"Bahria Town - Johar Block, Bahria Town - Sector E",8500000.0,1,1,495.0,2025,live
Lahore,"DHA Phase 6 - Block K, DHA Phase 6",99900000.0,7,7,4500.0,2025,live
Lahore,"DHA Phase 6, DHA Defence",79500000.0,5,6,4500.0,2025,live
Lahore,"DHA Phase 6, DHA Defence",77500000.0,6,6,4500.0,2025,live
Lahore,"Askari 10 - Sector F, Askari 10",35000000.0,3,3,2452.0,2025,live
Lahore,"Bahria Town - Sector D, Bahria Town",24000000.0,3,4,1125.0,2025,live
Lahore,"Bahria Town - Sector H, Bahria Town",21800000.0,3,3,1125.0,2025,live
Lahore,"PGECHS Phase 2, Punjab Govt Employees Society",65000000.0,6,6,4500.0,2025,live
Lahore,"PGECHS Phase 2, Punjab Govt Employees Society",9000000.0,3,3,562.0,2025,live
Lahore,"DHA Phase 6 - Block K, DHA Phase 6",83500000.0,7,7,4500.0,2025,live
Lahore,"DHA Phase 8, DHA Defence",47500000.0,5,6,2250.0,2025,live
Lahore,"Jubilee Town, Lahore",40000000.0,6,6,2250.0,2025,live
Lahore,"LDA Avenue - Block J, LDA Avenue",29000000.0,6,6,2250.0,2025,live
Lahore,"Wapda Town, Lahore",65000000.0,6,7,5400.0,2025,live
Lahore,"Al-Kabir Town, Raiwind Road",15500000.0,3,4,675.0,2025,live
Lahore,"Park View City, Lahore",17500000.0,6,7,1575.0,2025,live
Lahore,"Park View City - Platinum Block, Park View City",16000000.0,4,4,1125.0,2025,live
