city,location,price,bedrooms,baths,size,year,source,location_clean,location_standardized
Multan,"DHA Phase 1 - Sector B1, DHA Phase 1",24900000.0,4.0,4.0,2250.0,2025,live,"dha phase 1 - sector b1, dha phase 1",Dha Phase 1 - Sector B1
Multan,"Royal Orchard - Block D, Royal Orchard",70000000.0,5.0,6.0,4500.0,2025,live,"royal orchard - block d, royal orchard",Royal Orchard - Block D
Multan,"Wapda Town Phase 2, Wapda Town",23800000.0,4.0,4.0,1575.0,2025,live,"wapda town phase 2, wapda town",Wapda Town Phase 2
Multan,"New Multan, Multan",12500000.0,4.0,4.0,1125.0,2025,live,"new multan, multan",New Multan
Multan,"Wapda Town Phase 1 - Block E, Wapda Town Phase 1",62500000.0,5.0,6.0,4500.0,2025,live,"wapda town phase 1 - block e, wapda town phase 1",Wapda Town Phase 1 - Block E
Multan,"DHA Phase 1 - Sector B1, DHA Phase 1",26000000.0,5.0,6.0,2250.0,2025,live,"dha phase 1 - sector b1, dha phase 1",Dha Phase 1 - Sector B1
Multan,"Dream Garden - Block C, Dream Garden",45000000.0,9.0,6.0,3150.0,2025,live,"dream garden - block c, dream garden",Dream Garden - Block C
Multan,"Buch Executive Villas, Multan",36000000.0,5.0,6.0,2025.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Buch Executive Villas, Multan",19500000.0,5.0,6.0,1350.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Buch Executive Villas, Multan",15100000.0,4.0,5.0,900.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Buch Executive Villas - Phase 2, Buch Executive Villas",37000000.0,5.0,6.0,2250.0,2025,live,"buch executive villas - phase 2, buch executive villas",Buch Executive Villas - Phase 2
Multan,"Buch Executive Villas, Multan",38500000.0,5.0,6.0,2025.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Zakariya Town, Multan",27500000.0,4.0,6.0,4500.0,2025,live,"zakariya town, multan",Zakariya Town
Multan,"Royal Orchard, Multan Public School Road",35000000.0,5.0,6.0,2250.0,2025,live,"royal orchard, multan public school road",Royal Orchard
Multan,"Shah Rukn-e-Alam Colony - Block E, Shah Rukn-e-Alam Colony",15000000.0,4.0,5.0,1575.0,2025,live,"shah rukn-e-alam colony - block e, shah rukn-e-alam colony",Shah Rukn-E-Alam Colony - Block E
Multan,"Sher Shah Road, Multan",8500000.0,5.0,5.0,1238.0,2025,live,"sher shah road, multan",Sher Shah Road
Multan,"Wapda Town Phase 1, Wapda Town",61500000.0,6.0,6.0,4050.0,2025,live,"wapda town phase 1, wapda town",Wapda Town Phase 1
Multan,"De Orion Mall, Gulgasht Colony",14300000.0,1.0,1.0,652.0,2025,live,"de orion mall, gulgasht colony",De Orion Mall
Multan,"Multan Public School Road, Multan",13000000.0,3.0,4.0,900.0,2025,live,"multan public school road, multan",Multan Public School Road
Multan,"Multan Public School Road, Multan",14000000.0,4.0,5.0,1125.0,2025,live,"multan public school road, multan",Multan Public School Road
Multan,"Royal Orchard - Block C, Royal Orchard",27500000.0,5.0,5.0,2250.0,2025,live,"royal orchard - block c, royal orchard",Royal Orchard - Block C
Multan,"Buch Executive Villas, Multan",13800000.0,3.0,4.0,1125.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Buch Executive Villas, Multan",4300000.0,0.0,1.0,338.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Buch Executive Villas, Multan",21900000.0,5.0,6.0,1688.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Nasheman Colony, Multan",14500000.0,4.0,5.0,1125.0,2025,live,"nasheman colony, multan",Nasheman Colony
Multan,"Buch Executive Villas, Multan",35000000.0,5.0,6.0,2250.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Buch Executive Villas, Multan",36000000.0,0.0,0.0,2025.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Buch Executive Villas, Multan",36500000.0,5.0,6.0,2295.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Royal Orchard, Multan Public School Road",18900000.0,4.0,5.0,1125.0,2025,live,"royal orchard, multan public school road",Royal Orchard
Multan,"Royal Orchard, Multan Public School Road",68000000.0,7.0,6.0,4950.0,2025,live,"royal orchard, multan public school road",Royal Orchard
Multan,"Royal Orchard, Multan Public School Road",19000000.0,4.0,5.0,1125.0,2025,live,"royal orchard, multan public school road",Royal Orchard
Multan,"Buch Executive Villas, Multan",42500000.0,6.0,6.0,2925.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Buch Executive Villas, Multan",38500000.0,5.0,7.0,2025.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Royal Orchard, Multan Public School Road",27000000.0,5.0,5.0,2250.0,2025,live,"royal orchard, multan public school road",Royal Orchard
Multan,"DHA Phase 1 - Sector U, DHA Phase 1",20000000.0,4.0,5.0,2250.0,2025,live,"dha phase 1 - sector u, dha phase 1",Dha Phase 1 - Sector U
Multan,"Wapda Town Phase 1 - Block D, Wapda Town Phase 1",79000000.0,6.0,7.0,4500.0,2025,live,"wapda town phase 1 - block d, wapda town phase 1",Wapda Town Phase 1 - Block D
Multan,"Dream Garden, Purana Shujabad Road",32500000.0,3.0,0.0,1800.0,2025,live,"dream garden, purana shujabad road",Dream Garden
Multan,"Royal Orchard, Multan Public School Road",62500000.0,5.0,6.0,4500.0,2025,live,"royal orchard, multan public school road",Royal Orchard
Multan,"Multan Public School Road, Multan",23500000.0,4.0,4.0,1575.0,2025,live,"multan public school road, multan",Multan Public School Road
Multan,"Bosan Road, Multan",11000000.0,0.0,0.0,675.0,2025,live,"bosan road, multan",Bosan Road
Multan,"Multan Public School Road, Multan",11000000.0,3.0,4.0,675.0,2025,live,"multan public school road, multan",Multan Public School Road
Multan,"New Shalimar Colony, Multan",10500000.0,3.0,4.0,900.0,2025,live,"new shalimar colony, multan",New Shalimar Colony
Multan,"Buch Executive Villas, Multan",37500000.0,5.0,6.0,2250.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Askari 3, DHA Defence",24500000.0,4.0,5.0,2250.0,2025,live,"askari 3, dha defence",Askari 3
Multan,"DHA Villas, DHA Defence",18000000.0,3.0,4.0,1350.0,2025,live,"dha villas, dha defence",Dha Villas
Multan,"Bosan Road, Multan",24500000.0,4.0,4.0,2475.0,2025,live,"bosan road, multan",Bosan Road
Multan,"Askari 3, DHA Defence",30000000.0,4.0,5.0,2700.0,2025,live,"askari 3, dha defence",Askari 3
Multan,"Citi Housing Phase 1, Citi Housing",13800000.0,3.0,4.0,1350.0,2025,live,"citi housing phase 1, citi housing",Citi Housing Phase 1
Multan,"MA Jinnah Road, Multan",35000000.0,4.0,5.0,2250.0,2025,live,"ma jinnah road, multan",Ma Jinnah Road
Multan,"Jamilabad, Multan",22000000.0,5.0,6.0,2250.0,2025,live,"jamilabad, multan",Jamilabad
Multan,"Model Town, Multan",19500000.0,4.0,5.0,1575.0,2025,live,"model town, multan",Model Town
Multan,"Buch Executive Villas, Multan",31000000.0,6.0,7.0,1688.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Buch Executive Villas, Multan",18500000.0,5.0,6.0,1125.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Serene Villas, Jinnah Avenue",20000000.0,3.0,4.0,1125.0,2025,live,"serene villas, jinnah avenue",Serene Villas
Multan,"Askari 3, DHA Defence",30000000.0,4.0,4.0,2700.0,2025,live,"askari 3, dha defence",Askari 3
Multan,"Sahar Villas, Multan Public School Road",29000000.0,4.0,5.0,2250.0,2025,live,"sahar villas, multan public school road",Sahar Villas
Multan,"Nasheman Colony, Multan",15500000.0,4.0,5.0,1125.0,2025,live,"nasheman colony, multan",Nasheman Colony
Multan,"Shalimar Colony, Multan",18500000.0,5.0,6.0,1575.0,2025,live,"shalimar colony, multan",Shalimar Colony
Multan,"Bahadurpur, Multan",17400000.0,4.0,5.0,1350.0,2025,live,"bahadurpur, multan",Bahadurpur
Multan,"Royal Orchard - Block G, Royal Orchard",16500000.0,3.0,3.0,1125.0,2025,live,"royal orchard - block g, royal orchard",Royal Orchard - Block G
Multan,"Wapda Town, Multan",18500000.0,5.0,6.0,1350.0,2025,live,"wapda town, multan",Wapda Town
Multan,"Shalimar Colony, Multan",16000000.0,4.0,5.0,1800.0,2025,live,"shalimar colony, multan",Shalimar Colony
Multan,"Buch Executive Villas, Multan",32000000.0,5.0,6.0,2025.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Royal Orchard, Multan Public School Road",61500000.0,6.0,6.0,4500.0,2025,live,"royal orchard, multan public school road",Royal Orchard
Multan,"Cantt, Multan",140000000.0,4.0,4.0,9000.0,2025,live,"cantt, multan",Cantt
Multan,"Western Fort Colony, Multan",25500000.0,6.0,6.0,2250.0,2025,live,"western fort colony, multan",Western Fort Colony
Multan,"Buch Executive Villas, Multan",32000000.0,6.0,6.0,2250.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Wapda Town Phase 1 - Block D, Wapda Town Phase 1",77500000.0,6.0,6.0,4500.0,2025,live,"wapda town phase 1 - block d, wapda town phase 1",Wapda Town Phase 1 - Block D
Multan,"Royal Orchard - Block G, Royal Orchard",14000000.0,4.0,5.0,1125.0,2025,live,"royal orchard - block g, royal orchard",Royal Orchard - Block G
Multan,"Buch Executive Villas, Multan",12000000.0,4.0,5.0,1125.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Buch Executive Villas, Multan",37000000.0,6.0,7.0,2250.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Wapda Town Phase 2, Wapda Town",36500000.0,5.0,6.0,2250.0,2025,live,"wapda town phase 2, wapda town",Wapda Town Phase 2
Multan,"Buch Executive Villas, Multan",22500000.0,4.0,4.0,1800.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Nasheman Colony, Multan",19000000.0,4.0,4.0,1575.0,2025,live,"nasheman colony, multan",Nasheman Colony
Multan,"Wapda Town Phase 1, Wapda Town",21000000.0,4.0,4.0,1575.0,2025,live,"wapda town phase 1, wapda town",Wapda Town Phase 1
Multan,"New Shalimar Colony, Multan",18000000.0,5.0,5.0,1620.0,2025,live,"new shalimar colony, multan",New Shalimar Colony
Multan,"Citi Housing Phase 1, Citi Housing",11000000.0,4.0,5.0,1125.0,2025,live,"citi housing phase 1, citi housing",Citi Housing Phase 1
Multan,"DHA Phase 1, DHA Defence",41000000.0,5.0,6.0,4500.0,2025,live,"dha phase 1, dha defence",Dha Phase 1
Multan,"DHA Phase 1, DHA Defence",45000000.0,5.0,0.0,4500.0,2025,live,"dha phase 1, dha defence",Dha Phase 1
Multan,"Bahadurpur, Multan",8000000.0,4.0,4.0,675.0,2025,live,"bahadurpur, multan",Bahadurpur
Multan,"Royal Orchard - Block F, Royal Orchard",18800000.0,3.0,3.0,1125.0,2025,live,"royal orchard - block f, royal orchard",Royal Orchard - Block F
Multan,"Citi Housing Phase 1, Citi Housing",12000000.0,3.0,5.0,1125.0,2025,live,"citi housing phase 1, citi housing",Citi Housing Phase 1
Multan,"Wapda Town Phase 1 - Block C, Wapda Town Phase 1",40000000.0,5.0,5.0,2250.0,2025,live,"wapda town phase 1 - block c, wapda town phase 1",Wapda Town Phase 1 - Block C
Multan,"Wapda Town Phase 1 - Block E, Wapda Town Phase 1",16000000.0,5.0,5.0,1125.0,2025,live,"wapda town phase 1 - block e, wapda town phase 1",Wapda Town Phase 1 - Block E
Multan,"DHA Phase 1, DHA Defence",41500000.0,5.0,6.0,4500.0,2025,live,"dha phase 1, dha defence",Dha Phase 1
Multan,"Buch Executive Villas, Multan",29500000.0,5.0,6.0,2700.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Wapda Town Phase 2 - Block Q, Wapda Town Phase 2",67500000.0,5.0,4.0,4500.0,2025,live,"wapda town phase 2 - block q, wapda town phase 2",Wapda Town Phase 2 - Block Q
Multan,"Royal Orchard, Multan Public School Road",66900000.0,6.0,6.0,4500.0,2025,live,"royal orchard, multan public school road",Royal Orchard
Multan,"Buch Executive Villas, Multan",25000000.0,6.0,6.0,1575.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Buch Executive Villas, Multan",18000000.0,4.0,5.0,1350.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"DHA Defence, Multan",46000000.0,6.0,6.0,4500.0,2025,live,"dha defence, multan",Dha Defence
Multan,"Buch Executive Villas, Multan",16500000.0,4.0,4.0,1125.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"MDA Chowk, Multan",7500000.0,3.0,3.0,675.0,2025,live,"mda chowk, multan",Mda Chowk
Multan,"Bosan Road, Multan",16500000.0,5.0,5.0,1350.0,2025,live,"bosan road, multan",Bosan Road
Multan,"Gulgasht Colony, Multan",31500000.0,11.0,7.0,1575.0,2025,live,"gulgasht colony, multan",Gulgasht Colony
Multan,"Buch Executive Villas, Multan",35000000.0,5.0,5.0,2250.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Shalimar Colony, Multan",25000000.0,5.0,5.0,2250.0,2025,live,"shalimar colony, multan",Shalimar Colony
Multan,"Garden Town, Multan",5800000.0,3.0,3.0,675.0,2025,live,"garden town, multan",Garden Town
Multan,"Nasheman Colony, Multan",24000000.0,5.0,5.0,2475.0,2025,live,"nasheman colony, multan",Nasheman Colony
Multan,"Wapda Town Phase 2, Wapda Town",34000000.0,5.0,6.0,2812.0,2025,live,"wapda town phase 2, wapda town",Wapda Town Phase 2
Multan,"Multan Public School Road, Multan",13000000.0,4.0,5.0,1125.0,2025,live,"multan public school road, multan",Multan Public School Road
Multan,"MA Jinnah Road, Multan",4500000.0,2.0,3.0,675.0,2025,live,"ma jinnah road, multan",Ma Jinnah Road
Multan,"Multan Public School Road, Multan",19000000.0,4.0,5.0,1575.0,2025,live,"multan public school road, multan",Multan Public School Road
Multan,"Sabzazar Colony, Multan",19000000.0,4.0,4.0,2250.0,2025,live,"sabzazar colony, multan",Sabzazar Colony
Multan,"Bahadurpur, Multan",12500000.0,4.0,4.0,1125.0,2025,live,"bahadurpur, multan",Bahadurpur
Multan,"Askari 3, DHA Defence",23500000.0,4.0,4.0,2250.0,2025,live,"askari 3, dha defence",Askari 3
Multan,"Buch Executive Villas, Multan",27500000.0,5.0,6.0,2250.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Bahadurpur, Multan",14000000.0,3.0,4.0,1125.0,2025,live,"bahadurpur, multan",Bahadurpur
Multan,"New Shalimar Colony, Multan",25000000.0,5.0,6.0,2250.0,2025,live,"new shalimar colony, multan",New Shalimar Colony
Multan,"Multan Public School Road, Multan",13500000.0,4.0,5.0,1125.0,2025,live,"multan public school road, multan",Multan Public School Road
Multan,"Buch Executive Villas, Multan",15700000.0,4.0,4.0,1125.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Buch Executive Villas, Multan",24500000.0,5.0,6.0,1800.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"Buch Executive Villas, Multan",31000000.0,5.0,6.0,2250.0,2025,live,"buch executive villas, multan",Buch Executive Villas
Multan,"DHA Defence, Multan",43000000.0,5.0,6.0,4500.0,2025,live,"dha defence, multan",Dha Defence
Multan,"Bosan Road, Multan",38000000.0,4.0,5.0,6300.0,2025,live,"bosan road, multan",Bosan Road
Multan,"New Shalimar Colony, Multan",18000000.0,4.0,4.0,1350.0,2025,live,"new shalimar colony, multan",New Shalimar Colony
